_id,user,terrain,date,startTime,endTime,durationHours,totalPrice,sport,terrainName,createdAt,updatedAt,year,month,day,startHour
6956f05aa3cb898769858bc0,6956f05aa3cb898769858b75,6956f05aa3cb898769858ba9,2025-12-03,10:00,12:00,2,142,tennis,Terrain 18,2026-01-01 23:08:26.197,2026-01-01 23:08:26.197,2025,12,3,10.0
6956f05aa3cb898769858bc1,6956f05aa3cb898769858b7c,6956f05aa3cb898769858ba6,2025-12-30,13:00,15:00,2,44,foot,Terrain 15,2026-01-01 23:08:26.197,2026-01-01 23:08:26.197,2025,12,30,13.0
6956f05aa3cb898769858bc2,6956f05aa3cb898769858b68,6956f05aa3cb898769858bbc,2026-01-13,17:00,18:00,1,62,basket,Terrain 37,2026-01-01 23:08:26.197,2026-01-01 23:08:26.197,2026,1,13,17.0
6956f05aa3cb898769858bc3,6956f05aa3cb898769858b86,6956f05aa3cb898769858ba0,2026-01-12,11:00,12:00,1,24,tennis,Terrain 9,2026-01-01 23:08:26.197,2026-01-01 23:08:26.197,2026,1,12,11.0
6956f05aa3cb898769858bc4,6956f05aa3cb898769858b7f,6956f05aa3cb898769858bb7,2026-01-22,9:00,11:00,2,42,tennis,Terrain 32,2026-01-01 23:08:26.197,2026-01-01 23:08:26.197,2026,1,22,9.0
6956f05aa3cb898769858bc5,6956f05aa3cb898769858b91,6956f05aa3cb898769858bb4,2025-12-15,14:00,15:00,1,76,foot,Terrain 29,2026-01-01 23:08:26.197,2026-01-01 23:08:26.197,2025,12,15,14.0
6956f05aa3cb898769858bc6,6956f05aa3cb898769858b95,6956f05aa3cb898769858b98,2026-01-03,14:00,16:00,2,146,basket,Terrain 1,2026-01-01 23:08:26.197,2026-01-01 23:08:26.197,2026,1,3,14.0
6956f05aa3cb898769858bc7,6956f05aa3cb898769858b6e,6956f05aa3cb898769858b98,2025-12-31,16:00,17:00,1,73,basket,Terrain 1,2026-01-01 23:08:26.197,2026-01-01 23:08:26.197,2025,12,31,16.0
6956f05aa3cb898769858bc8,6956f05aa3cb898769858b7f,6956f05aa3cb898769858bb7,2025-11-08,19:00,21:00,2,42,tennis,Terrain 32,2026-01-01 23:08:26.197,2026-01-01 23:08:26.197,2025,11,8,19.0
6956f05aa3cb898769858bc9,6956f05aa3cb898769858b6e,6956f05aa3cb898769858b98,2025-12-25,10:00,11:00,1,73,basket,Terrain 1,2026-01-01 23:08:26.197,2026-01-01 23:08:26.197,2025,12,25,10.0
6956f05aa3cb898769858bca,6956f05aa3cb898769858b6f,6956f05aa3cb898769858bb4,2025-11-06,13:00,15:00,2,152,foot,Terrain 29,2026-01-01 23:08:26.197,2026-01-01 23:08:26.197,2025,11,6,13.0
6956f05aa3cb898769858bcb,6956f05aa3cb898769858b74,6956f05aa3cb898769858bb2,2025-10-29,15:00,17:00,2,70,basket,Terrain 27,2026-01-01 23:08:26.197,2026-01-01 23:08:26.197,2025,10,29,15.0
6956f05aa3cb898769858bcc,6956f05aa3cb898769858b8f,6956f05aa3cb898769858ba1,2026-01-19,20:00,22:00,2,42,padel,Terrain 10,2026-01-01 23:08:26.197,2026-01-01 23:08:26.197,2026,1,19,20.0
6956f05aa3cb898769858bcd,6956f05aa3cb898769858b96,6956f05aa3cb898769858baf,2025-11-15,15:00,17:00,2,130,tennis,Terrain 24,2026-01-01 23:08:26.197,2026-01-01 23:08:26.197,2025,11,15,15.0
6956f05aa3cb898769858bce,6956f05aa3cb898769858b7b,6956f05aa3cb898769858ba2,2025-10-07,16:00,17:00,1,41,basket,Terrain 11,2026-01-01 23:08:26.197,2026-01-01 23:08:26.197,2025,10,7,16.0
6956f05aa3cb898769858bcf,6956f05aa3cb898769858b6a,6956f05aa3cb898769858bb6,2025-12-05,14:00,15:00,1,70,foot,Terrain 31,2026-01-01 23:08:26.197,2026-01-01 23:08:26.197,2025,12,5,14.0
6956f05aa3cb898769858bd0,6956f05aa3cb898769858b89,6956f05aa3cb898769858ba8,2026-01-10,19:00,20:00,1,20,foot,Terrain 17,2026-01-01 23:08:26.197,2026-01-01 23:08:26.197,2026,1,10,19.0
6956f05aa3cb898769858bd1,6956f05aa3cb898769858b90,6956f05aa3cb898769858bb2,2026-01-05,11:00,13:00,2,70,basket,Terrain 27,2026-01-01 23:08:26.197,2026-01-01 23:08:26.197,2026,1,5,11.0
6956f05aa3cb898769858bd2,6956f05aa3cb898769858b78,6956f05aa3cb898769858ba8,2025-10-07,9:00,10:00,1,20,foot,Terrain 17,2026-01-01 23:08:26.197,2026-01-01 23:08:26.197,2025,10,7,9.0
6956f05aa3cb898769858bd3,6956f05aa3cb898769858b92,6956f05aa3cb898769858ba3,2026-01-05,18:00,20:00,2,140,padel,Terrain 12,2026-01-01 23:08:26.197,2026-01-01 23:08:26.197,2026,1,5,18.0
6956f05aa3cb898769858bd4,6956f05aa3cb898769858b89,6956f05aa3cb898769858bb4,2025-11-24,19:00,21:00,2,152,foot,Terrain 29,2026-01-01 23:08:26.197,2026-01-01 23:08:26.197,2025,11,24,19.0
6956f05aa3cb898769858bd5,6956f05aa3cb898769858b71,6956f05aa3cb898769858bb5,2026-01-06,10:00,11:00,1,75,basket,Terrain 30,2026-01-01 23:08:26.197,2026-01-01 23:08:26.197,2026,1,6,10.0
6956f05aa3cb898769858bd6,6956f05aa3cb898769858b79,6956f05aa3cb898769858bbb,2025-12-14,20:00,21:00,1,24,tennis,Terrain 36,2026-01-01 23:08:26.198,2026-01-01 23:08:26.198,2025,12,14,20.0
6956f05aa3cb898769858bd7,6956f05aa3cb898769858b8d,6956f05aa3cb898769858b9b,2025-12-02,19:00,20:00,1,67,tennis,Terrain 4,2026-01-01 23:08:26.198,2026-01-01 23:08:26.198,2025,12,2,19.0
6956f05aa3cb898769858bd8,6956f05aa3cb898769858b6d,6956f05aa3cb898769858bb7,2025-10-09,20:00,21:00,1,21,tennis,Terrain 32,2026-01-01 23:08:26.198,2026-01-01 23:08:26.198,2025,10,9,20.0
6956f05aa3cb898769858bd9,6956f05aa3cb898769858b82,6956f05aa3cb898769858ba4,2025-12-31,11:00,12:00,1,53,padel,Terrain 13,2026-01-01 23:08:26.198,2026-01-01 23:08:26.198,2025,12,31,11.0
6956f05aa3cb898769858bda,6956f05aa3cb898769858b6e,6956f05aa3cb898769858b99,2025-10-05,10:00,11:00,1,48,padel,Terrain 2,2026-01-01 23:08:26.198,2026-01-01 23:08:26.198,2025,10,5,10.0
6956f05aa3cb898769858bdb,6956f05aa3cb898769858b91,6956f05aa3cb898769858ba3,2025-11-17,17:00,18:00,1,70,padel,Terrain 12,2026-01-01 23:08:26.198,2026-01-01 23:08:26.198,2025,11,17,17.0
6956f05aa3cb898769858bdc,6956f05aa3cb898769858b75,6956f05aa3cb898769858ba5,2025-11-18,19:00,20:00,1,52,foot,Terrain 14,2026-01-01 23:08:26.198,2026-01-01 23:08:26.198,2025,11,18,19.0
6956f05aa3cb898769858bdd,6956f05aa3cb898769858b8b,6956f05aa3cb898769858ba2,2025-12-31,13:00,15:00,2,82,basket,Terrain 11,2026-01-01 23:08:26.198,2026-01-01 23:08:26.198,2025,12,31,13.0
6956f05aa3cb898769858bde,6956f05aa3cb898769858b74,6956f05aa3cb898769858b98,2026-01-09,15:00,16:00,1,73,basket,Terrain 1,2026-01-01 23:08:26.198,2026-01-01 23:08:26.198,2026,1,9,15.0
6956f05aa3cb898769858bdf,6956f05aa3cb898769858b85,6956f05aa3cb898769858bab,2025-12-07,13:00,15:00,2,106,padel,Terrain 20,2026-01-01 23:08:26.198,2026-01-01 23:08:26.198,2025,12,7,13.0
6956f05aa3cb898769858be0,6956f05aa3cb898769858b89,6956f05aa3cb898769858b98,2026-01-11,14:00,16:00,2,146,basket,Terrain 1,2026-01-01 23:08:26.198,2026-01-01 23:08:26.198,2026,1,11,14.0
6956f05aa3cb898769858be1,6956f05aa3cb898769858b76,6956f05aa3cb898769858bb6,2026-01-25,12:00,13:00,1,70,foot,Terrain 31,2026-01-01 23:08:26.198,2026-01-01 23:08:26.198,2026,1,25,12.0
6956f05aa3cb898769858be2,6956f05aa3cb898769858b70,6956f05aa3cb898769858b9c,2025-11-14,11:00,12:00,1,71,tennis,Terrain 5,2026-01-01 23:08:26.198,2026-01-01 23:08:26.198,2025,11,14,11.0
6956f05aa3cb898769858be3,6956f05aa3cb898769858b91,6956f05aa3cb898769858bbd,2025-12-25,17:00,19:00,2,120,padel,Terrain 38,2026-01-01 23:08:26.198,2026-01-01 23:08:26.198,2025,12,25,17.0
6956f05aa3cb898769858be4,6956f05aa3cb898769858b95,6956f05aa3cb898769858ba8,2025-10-30,13:00,14:00,1,20,foot,Terrain 17,2026-01-01 23:08:26.198,2026-01-01 23:08:26.198,2025,10,30,13.0
6956f05aa3cb898769858be5,6956f05aa3cb898769858b81,6956f05aa3cb898769858bae,2025-12-14,11:00,13:00,2,152,foot,Terrain 23,2026-01-01 23:08:26.198,2026-01-01 23:08:26.198,2025,12,14,11.0
6956f05aa3cb898769858be6,6956f05aa3cb898769858b8a,6956f05aa3cb898769858b9c,2026-01-29,19:00,21:00,2,142,tennis,Terrain 5,2026-01-01 23:08:26.198,2026-01-01 23:08:26.198,2026,1,29,19.0
6956f05aa3cb898769858be7,6956f05aa3cb898769858b92,6956f05aa3cb898769858b9c,2026-01-12,13:00,14:00,1,71,tennis,Terrain 5,2026-01-01 23:08:26.198,2026-01-01 23:08:26.198,2026,1,12,13.0
6956f05aa3cb898769858be8,6956f05aa3cb898769858b8c,6956f05aa3cb898769858bad,2026-01-23,19:00,21:00,2,88,padel,Terrain 22,2026-01-01 23:08:26.198,2026-01-01 23:08:26.198,2026,1,23,19.0
6956f05aa3cb898769858be9,6956f05aa3cb898769858b85,6956f05aa3cb898769858b9f,2025-11-25,19:00,20:00,1,20,padel,Terrain 8,2026-01-01 23:08:26.198,2026-01-01 23:08:26.198,2025,11,25,19.0
6956f05aa3cb898769858bea,6956f05aa3cb898769858b71,6956f05aa3cb898769858b9a,2025-10-24,14:00,16:00,2,72,basket,Terrain 3,2026-01-01 23:08:26.198,2026-01-01 23:08:26.198,2025,10,24,14.0
